runner,serializer,events,time,size
docker,hdf5,1,0.042,41130
docker,root,1,0.244,12908
docker,hdf5,10,0.049,46113
docker,root,10,0.286,17663
docker,hdf5,100,0.051,79434
docker,root,100,0.292,53619
docker,hdf5,1000,0.060,416935
docker,root,1000,0.279,411848
docker,hdf5,10000,0.304,3875028
docker,root,10000,0.578,4112846
docker,hdf5,100000,2.861,38437882
docker,root,100000,4.421,41029296

